part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,0,G,G,,4,240,eighth,False,False,False,False
P1,1,C,C,,5,480,quarter,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,Eb,E,-1,5,480,quarter,False,False,False,False
P1,1,Eb,E,-1,5,240,eighth,False,False,False,False
P1,2,Eb,E,-1,5,,16th,False,False,True,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,B,B,,4,120,16th,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,3,Eb,E,-1,5,480,quarter,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,G,G,,5,480,quarter,False,False,False,False
P1,3,Ab,A,-1,5,240,eighth,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,Eb,E,-1,5,240,eighth,False,False,False,False
P1,4,D,D,,5,480,quarter,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,5,Eb,E,-1,5,480,quarter,False,False,False,False
P1,5,Eb,E,-1,5,240,eighth,False,False,False,False
P1,5,F,F,,5,480,quarter,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,6,Eb,E,-1,5,,16th,False,False,True,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,D,D,,5,120,16th,False,False,False,False
P1,6,Eb,E,-1,5,120,16th,False,False,False,False
P1,6,F,F,,5,120,16th,False,False,False,False
P1,6,G,G,,5,120,16th,False,False,False,False
P1,6,Ab,A,-1,5,480,quarter,False,False,False,False
P1,6,Ab,A,-1,5,240,eighth,False,False,False,False
P1,7,G,G,,5,480,quarter,False,False,False,False
P1,7,F,F,,5,240,eighth,False,False,False,False
P1,7,Eb,E,-1,5,480,quarter,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,F,F,,5,720,quarter,True,False,False,False
P1,8,Eb,E,-1,5,480,quarter,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,10,G,G,,5,480,quarter,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,E,E,,5,480,quarter,False,False,False,False
P1,10,G,G,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,11,C,C,,5,480,quarter,False,False,False,False
P1,11,C,C,,5,240,eighth,False,False,False,False
P1,12,Ab,A,-1,5,480,quarter,False,False,False,False
P1,12,G,G,,5,240,eighth,False,False,False,False
P1,12,F,F,,5,480,quarter,False,False,False,False
P1,12,Eb,E,-1,5,240,eighth,False,False,False,False
P1,13,D,D,,5,480,quarter,False,False,False,False
P1,13,Eb,E,-1,5,240,eighth,False,False,False,False
P1,13,D,D,,5,480,quarter,False,False,False,False
P1,13,G,G,,4,240,eighth,False,False,False,False
P1,14,C,C,,5,480,quarter,False,False,False,False
P1,14,C,C,,5,240,eighth,False,False,False,False
P1,14,Eb,E,-1,5,480,quarter,False,False,False,False
P1,14,Eb,E,-1,5,240,eighth,False,False,False,False
P1,15,Eb,E,-1,5,,16th,False,False,True,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,15,D,D,,5,120,16th,False,False,False,False
P1,15,C,C,,5,120,16th,False,False,False,False
P1,15,B,B,,4,120,16th,False,False,False,False
P1,15,D,D,,5,120,16th,False,False,False,False
P1,15,C,C,,5,480,quarter,False,False,False,False
P1,15,D,D,,5,240,eighth,False,False,False,False
P1,16,Eb,E,-1,5,480,quarter,False,False,False,False
P1,16,E,E,,5,240,eighth,False,False,False,False
P1,16,F,F,,5,480,quarter,False,False,False,False
P1,16,F#,F,1,5,240,eighth,False,False,False,False
P1,17,G,G,,5,480,quarter,False,False,False,False
P1,17,B,B,,4,240,eighth,False,False,False,False
P1,17,C,C,,5,480,quarter,False,False,False,False
P1,18,G,G,,4,240,eighth,False,False,False,False
P1,19,E,E,,5,720,quarter,True,False,False,False
P1,19,D,D,,5,240,eighth,False,False,False,False
P1,19,F,F,,5,240,eighth,False,False,False,False
P1,19,B,B,,4,240,eighth,False,False,False,False
P1,20,C,C,,5,240,eighth,False,False,False,False
P1,20,E,E,,5,240,eighth,False,False,False,False
P1,20,G,G,,5,240,eighth,False,False,False,False
P1,20,G,G,,5,480,quarter,False,False,False,False
P1,20,G,G,,5,240,eighth,False,False,False,False
P1,21,G,G,,5,240,eighth,False,False,False,False
P1,21,F#,F,1,5,240,eighth,False,False,False,False
P1,21,F,F,,5,240,eighth,False,False,False,False
P1,21,E,E,,5,240,eighth,False,False,False,False
P1,21,D,D,,5,240,eighth,False,False,False,False
P1,21,C,C,,5,240,eighth,False,False,False,False
P1,22,E,E,,5,720,quarter,True,False,False,False
P1,22,D,D,,5,240,eighth,False,False,False,False
P1,22,,,,,240,eighth,False,True,False,False
P1,22,D,D,,5,240,eighth,False,False,False,False
P1,23,C,C,,6,120,16th,False,False,False,False
P1,23,B,B,,5,120,16th,False,False,False,False
P1,23,A,A,,5,120,16th,False,False,False,False
P1,23,G,G,,5,120,16th,False,False,False,False
P1,23,F#,F,1,5,120,16th,False,False,False,False
P1,23,E,E,,5,120,16th,False,False,False,False
P1,23,D,D,,5,480,quarter,False,False,False,False
P1,23,C,C,,5,240,eighth,False,False,False,False
P1,24,B,B,,4,240,eighth,False,False,False,False
P1,24,C,C,,5,240,eighth,False,False,False,False
P1,24,C#,C,1,5,240,eighth,False,False,False,False
P1,24,D,D,,5,480,quarter,False,False,False,False
P1,24,E,E,,5,240,eighth,False,False,False,False
P1,25,D,D,,5,240,eighth,False,False,False,False
P1,25,B,B,,4,240,eighth,False,False,False,False
P1,25,G,G,,4,240,eighth,False,False,False,False
P1,25,C,C,,5,240,eighth,False,False,False,False
P1,25,A,A,,4,240,eighth,False,False,False,False
P1,25,F#,F,1,4,240,eighth,False,False,False,False
P1,26,A,A,,4,720,quarter,True,False,False,False
P1,26,G,G,,4,240,eighth,False,False,False,False
P1,26,,,,,240,eighth,False,True,False,False
P1,27,G,G,,4,240,eighth,False,False,False,False
P1,28,F,F,,5,120,16th,False,False,False,False
P1,28,E,E,,5,120,16th,False,False,False,False
P1,28,D,D,,5,120,16th,False,False,False,False
P1,28,C,C,,5,120,16th,False,False,False,False
P1,28,B,B,,4,120,16th,False,False,False,False
P1,28,C,C,,5,120,16th,False,False,False,False
P1,28,D,D,,5,480,quarter,False,False,False,False
P1,28,,,,,240,eighth,False,True,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,29,,,,,240,eighth,False,True,False,False
P1,29,,,,,480,quarter,False,True,False,False
P1,29,G,G,,4,240,eighth,False,False,False,False
P1,30,F,F,,5,120,16th,False,False,False,False
P1,30,E,E,,5,120,16th,False,False,False,False
P1,30,D,D,,5,120,16th,False,False,False,False
P1,30,C,C,,5,120,16th,False,False,False,False
P1,30,B,B,,4,120,16th,False,False,False,False
P1,30,C,C,,5,120,16th,False,False,False,False
P1,30,D,D,,5,480,quarter,False,False,False,False
P1,30,D,D,,5,240,eighth,False,False,False,False
P1,31,E,E,,5,480,quarter,False,False,False,False
P1,31,G,G,,5,,16th,False,False,True,False
P1,31,F,F,,5,240,eighth,False,False,False,False
P1,31,D,D,,5,480,quarter,False,False,False,False
P1,31,G,G,,4,240,eighth,False,False,False,False
P1,32,E,E,,5,720,quarter,True,False,False,False
P1,32,D,D,,5,240,eighth,False,False,False,False
P1,32,F,F,,5,240,eighth,False,False,False,False
P1,32,B,B,,4,240,eighth,False,False,False,False
P1,33,C,C,,5,240,eighth,False,False,False,False
P1,33,E,E,,5,240,eighth,False,False,False,False
P1,33,G,G,,5,240,eighth,False,False,False,False
P1,33,F,F,,5,240,eighth,False,False,False,False
P1,33,C,C,,6,240,eighth,False,False,False,False
P1,33,A,A,,5,240,eighth,False,False,False,False
P1,34,G,G,,5,240,eighth,False,False,False,False
P1,34,E,E,,5,240,eighth,False,False,False,False
P1,34,C,C,,5,240,eighth,False,False,False,False
P1,34,F,F,,5,240,eighth,False,False,False,False
P1,34,D,D,,5,240,eighth,False,False,False,False
P1,34,B,B,,4,240,eighth,False,False,False,False
P1,35,D,D,,5,720,quarter,True,False,False,False
P1,35,C,C,,5,480,quarter,False,False,False,False
P1,36,G,G,,4,240,eighth,False,False,False,False
P1,37,C,C,,5,480,quarter,False,False,False,False
P1,37,C,C,,5,240,eighth,False,False,False,False
P1,37,Eb,E,-1,5,480,quarter,False,False,False,False
P1,37,Eb,E,-1,5,240,eighth,False,False,False,False
P1,38,Eb,E,-1,5,,16th,False,False,True,False
P1,38,D,D,,5,240,eighth,False,False,False,False
P1,38,D,D,,5,120,16th,False,False,False,False
P1,38,C,C,,5,120,16th,False,False,False,False
P1,38,B,B,,4,120,16th,False,False,False,False
P1,38,D,D,,5,120,16th,False,False,False,False
P1,38,C,C,,5,480,quarter,False,False,False,False
P1,38,D,D,,5,240,eighth,False,False,False,False
P1,39,Eb,E,-1,5,480,quarter,False,False,False,False
P1,39,E,E,,5,240,eighth,False,False,False,False
P1,39,F,F,,5,480,quarter,False,False,False,False
P1,39,Ab,A,-1,5,240,eighth,False,False,False,False
P1,40,G,G,,5,480,quarter,False,False,False,False
P1,40,Bb,B,-1,5,240,eighth,False,False,False,False
P1,40,F,F,,4,480,quarter,False,False,False,False
P1,40,C,C,,5,480,quarter,False,False,False,False
P1,40,Ab,A,-1,5,480,quarter,False,False,False,False
P1,40,C,C,,5,240,eighth,False,False,False,False
P1,41,F,F,,5,480,quarter,False,False,False,False
P1,41,F,F,,5,240,eighth,False,False,False,False
P1,41,Ab,A,-1,5,480,quarter,False,False,False,False
P1,41,Ab,A,-1,5,240,eighth,False,False,False,False
P1,42,Ab,A,-1,5,,16th,False,False,True,False
P1,42,G,G,,5,240,eighth,False,False,False,False
P1,42,G,G,,5,120,16th,False,False,False,False
P1,42,F,F,,5,120,16th,False,False,False,False
P1,42,E,E,,5,120,16th,False,False,False,False
P1,42,G,G,,5,120,16th,False,False,False,False
P1,42,F,F,,5,480,quarter,False,False,False,False
P1,42,Ab,A,-1,5,240,eighth,False,False,False,False
P1,43,C,C,,5,480,quarter,False,False,False,False
P1,43,C,C,,5,240,eighth,False,False,False,False
P1,43,D,D,,5,480,quarter,False,False,False,False
P1,43,B,B,,4,240,eighth,False,False,False,False
P1,44,C,C,,5,480,quarter,False,False,False,False
P1,44,,,,,240,eighth,False,True,False,False
P1,44,G,G,,5,480,quarter,False,False,False,False
P1,44,F,F,,5,240,eighth,False,False,False,False
P1,45,Eb,E,-1,5,480,quarter,False,False,False,False
P1,45,,,,,240,eighth,False,True,False,False
P1,45,D,D,,5,240,eighth,False,False,False,False
P1,45,F,F,,5,240,eighth,False,False,False,False
P1,45,B,B,,4,240,eighth,False,False,False,False
P1,46,C,C,,5,480,quarter,False,False,False,False
P1,46,,,,,240,eighth,False,True,False,False
P1,46,G,G,,5,480,quarter,False,False,False,False
P1,46,F,F,,5,240,eighth,False,False,False,False
P1,47,Eb,E,-1,5,480,quarter,False,False,False,False
P1,47,,,,,240,eighth,False,True,False,False
P1,47,D,D,,5,240,eighth,False,False,False,False
P1,47,F,F,,5,240,eighth,False,False,False,False
P1,47,B,B,,4,240,eighth,False,False,False,False
P1,48,C,C,,5,480,quarter,False,False,False,False
P1,48,,,,,240,eighth,False,True,False,False
P1,48,B,B,,3,480,quarter,False,False,False,False
P1,48,G,G,,4,480,quarter,False,False,False,False
P1,48,,,,,240,eighth,False,True,False,False
P1,49,C,C,,4,480,quarter,False,False,False,False
P1,49,G,G,,4,480,quarter,False,False,False,False
P1,49,,,,,240,eighth,False,True,False,False
P1,49,,,,,480,quarter,False,True,False,False
P2,0,,,,,240,eighth,False,True,False,False
P2,0,,,,,240,eighth,False,True,False,False
P2,1,G,G,,3,480,quarter,False,False,False,False
P2,1,C,C,,4,480,quarter,False,False,False,False
P2,1,Eb,E,-1,4,480,quarter,False,False,False,False
P2,1,G,G,,3,240,eighth,False,False,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,1,Eb,E,-1,4,240,eighth,False,False,False,False
P2,1,G,G,,3,480,quarter,False,False,False,False
P2,1,C,C,,4,480,quarter,False,False,False,False
P2,1,Eb,E,-1,4,480,quarter,False,False,False,False
P2,1,G,G,,3,240,eighth,False,False,False,False
P2,1,C,C,,4,240,eighth,False,False,False,False
P2,1,Eb,E,-1,4,240,eighth,False,False,False,False
P2,1,C,C,,2,480,quarter,False,False,False,False
P2,1,C,C,,3,480,quarter,False,False,False,False
P2,1,C,C,,2,240,eighth,False,False,False,False
P2,1,C,C,,3,240,eighth,False,False,False,False
P2,1,C,C,,2,480,quarter,False,False,False,False
P2,1,C,C,,3,480,quarter,False,False,False,False
P2,1,C,C,,2,240,eighth,False,False,False,False
P2,1,C,C,,3,240,eighth,False,False,False,False
P2,2,Ab,A,-1,3,480,quarter,False,False,False,False
P2,2,B,B,,3,480,quarter,False,False,False,False
P2,2,D,D,,4,480,quarter,False,False,False,False
P2,2,F,F,,4,480,quarter,False,False,False,False
P2,2,Ab,A,-1,3,240,eighth,False,False,False,False
P2,2,B,B,,3,240,eighth,False,False,False,False
