part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,D,D,,5,360,eighth,True,False,False,False
P1,1,E,E,,5,120,16th,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,A,A,,5,480,quarter,False,False,False,False
P1,1,D,D,,5,240,eighth,False,False,False,False
P1,1,D,D,,5,480,quarter,False,False,False,False
P1,1,C#,C,1,5,240,eighth,False,False,False,False
P1,1,,,,,720,quarter,True,True,False,False
P1,2,F,F,,5,360,eighth,True,False,False,False
P1,2,G,G,,5,120,16th,False,False,False,False
P1,2,F,F,,5,240,eighth,False,False,False,False
P1,2,C,C,,6,480,quarter,False,False,False,False
P1,2,F,F,,5,240,eighth,False,False,False,False
P1,2,F,F,,5,480,quarter,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,A,A,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,C#,C,1,5,240,eighth,False,False,False,False
P1,3,D,D,,5,360,eighth,True,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,C#,C,1,5,720,quarter,True,False,False,False
P1,3,D,D,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,240,eighth,False,False,False,False
P1,4,E,E,,5,240,eighth,False,False,False,False
P1,4,G,G,,5,240,eighth,False,False,False,False
P1,4,F,F,,5,360,eighth,True,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,D,D,,5,240,eighth,False,False,False,False
P1,4,D,D,,5,720,quarter,True,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,G,G,,5,240,eighth,False,False,False,False
P1,5,A,A,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,Bb,B,-1,5,240,eighth,False,False,False,False
P1,5,A,A,,5,360,eighth,True,False,False,False
P1,5,G,G,,5,120,16th,False,False,False,False
P1,5,F,F,,5,240,eighth,False,False,False,False
P1,5,F,F,,5,720,quarter,True,False,False,False
P1,5,,,,,720,quarter,True,True,False,False
P1,6,G,G,,5,360,eighth,True,False,False,False
P1,6,A,A,,5,120,16th,False,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,A,A,,4,480,quarter,False,False,False,False
P1,6,G,G,,5,240,eighth,False,False,False,False
P1,6,G,G,,5,480,quarter,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,A,A,,5,240,eighth,False,False,False,False
P1,7,Bb,B,-1,5,720,quarter,True,False,False,False
P1,7,Bb,B,-1,5,480,quarter,False,False,False,False
P1,7,E,E,,5,240,eighth,False,False,False,False
P1,7,A,A,,5,720,quarter,True,False,False,False
P1,7,A,A,,5,480,quarter,False,False,False,False
P1,7,D,D,,5,240,eighth,False,False,False,False
P1,8,G,G,,5,720,quarter,True,False,False,False
P1,8,G,G,,5,360,eighth,True,False,False,False
P1,8,Bb,B,-1,5,120,16th,False,False,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,8,F,F,,5,360,eighth,True,False,False,False
P1,8,E,E,,5,120,16th,False,False,False,False
P1,8,D,D,,5,240,eighth,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,9,E,E,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,F,F,,5,360,eighth,True,False,False,False
P1,9,E,E,,5,120,16th,False,False,False,False
P1,9,D,D,,5,240,eighth,False,False,False,False
P1,9,D,D,,5,480,quarter,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,G,G,,5,240,eighth,False,False,False,False
P1,9,F#,F,1,5,240,eighth,False,False,False,False
P1,9,C,C,,6,240,eighth,False,False,False,False
P1,10,C,C,,6,240,eighth,False,False,False,False
P1,10,Bb,B,-1,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,D,D,,5,240,eighth,False,False,False,False
P1,10,C#,C,1,5,240,eighth,False,False,False,False
P1,10,A,A,,5,240,eighth,False,False,False,False
P1,10,D,D,,6,480,quarter,False,False,False,False
P1,10,F,F,,5,240,eighth,False,False,False,False
P1,10,G,G,,5,720,quarter,True,False,False,False
